시설ID,시도,시군구,품목명,품종,재배면적,시설유형,재배형태,단동/연동 구분,수집일,외부온도,외부습도,외부 일사량,외부풍향,외부풍속,외부강우,강우감지,내부온도,내부습도,내부CO2,내부 일사량,토양EC,토양PH,지온,지습,(양액)총배액,(양액)총급액,(양액)배액PH,(양액)공급PH,(양액)배액EC,(양액)공급EC,(양액)지온,(양액)지습,배기팬작동여부,CO2발생장치작동여부,보광등작동여부,난방기작동상태,난방기작동여부,유동팬작동상태,유동팬작동여부,보온커튼작동상태,보온커튼작동여부,차광커튼작동상태,차광커튼작동여부,우측삼중측창 작동여부,좌측삼중측창 작동여부,우측이중측창 작동여부,좌측이중측창 작동여부,우측일중측창 개도,우측일중측창 온도폭,우측일중측창 설정온도,우측일중측창 작동여부,우측일중측창 작동상태,좌측일중측창 개도,좌측일중측창 온도폭,좌측일중측창 설정온도,좌측일중측창 작동여부,좌측일중측창 작동상태,측창,우측이중천창 작동여부,좌측이중천창 작동여부,우측일중천창 개도,우측일중천창 온도폭,우측일중천창 설정온도,우측일중천창 작동여부,우측일중천창 작동상태,좌측일중천창 개도,좌측일중천창 온도폭,좌측일중천창 설정온도,좌측일중천창 작동여부,좌측일중천창 작동상태,천창,조사일,주차,생장길이,화방높이,줄기직경,엽장,엽폭,엽수,개화군,착과군,열매수,최종화방차수
PF_0020968_01,전라북도,임실군,토마토,,"1,000",,,,2021-02-04 10:00:00,-1,,469,,2,,0,30,85,456,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,0,,,0,0,,,,4,,,,,11,,,2021-02-04,4주차,15,18,9,34,68,16,1,4,14,0
PF_0020968_01,전라북도,임실군,토마토,,"1,000",,,,2021-02-04 11:00:00,0,,585,,2,,0,29,83,454,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,0,,,0,0,,,,10,,,,,10,,,2021-02-04,4주차,15,18,9,34,68,16,1,4,14,0
PF_0020968_01,전라북도,임실군,토마토,,"1,000",,,,2021-02-04 12:00:00,0,,626,,2,,0,29,87,457,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,0,,,0,0,,,,7,,,,,7,,,2021-02-04,4주차,15,18,9,34,68,16,1,4,14,0
PF_0020968_01,전라북도,임실군,토마토,,"1,000",,,,2021-02-04 13:00:00,1,,611,,2,,0,29,86,477,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,0,,,0,0,,,,7,,,,,11,,,2021-02-04,4주차,15,18,9,34,68,16,1,4,14,0
PF_0020968_01,전라북도,임실군,토마토,,"1,000",,,,2021-02-04 14:00:00,1,,536,,2,,0,28,87,448,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,0,,,0,0,,,,0,,,,,7,,,2021-02-04,4주차,15,18,9,34,68,16,1,4,14,0
PF_0020968_01,전라북도,임실군,토마토,,"1,000",,,,2021-02-04 15:00:00,2,,403,,2,,0,30,87,466,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,0,,,0,0,,,,0,,,,,1,,,2021-02-04,4주차,15,18,9,34,68,16,1,4,14,0
PF_0020968_01,전라북도,임실군,토마토,,"1,000",,,,2021-02-04 16:00:00,2,,229,,1,,0,31,88,390,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,0,,,0,0,,,,0,,,,,0,,,2021-02-04,4주차,15,18,9,34,68,16,1,4,14,0
PF_0020968_01,전라북도,임실군,토마토,,"1,000",,,,2021-02-04 17:00:00,2,,42,,1,,0,27,89,367,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,0,,,0,0,,,,0,,,,,0,,,2021-02-04,4주차,15,18,9,34,68,16,1,4,14,0
PF_0020968_01,전라북도,임실군,토마토,,"1,000",,,,2021-02-04 18:00:00,0,,0,,0,,0,28,87,403,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,0,,,0,0,,,,0,,,,,0,,,2021-02-04,4주차,15,18,9,34,68,16,1,4,14,0
PF_0020968_01,전라북도,임실군,토마토,,"1,000",,,,2021-02-04 19:00:00,-2,,0,,0,,0,29,83,439,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,0,,,0,0,,,,0,,,,,0,,,2021-02-04,4주차,15,18,9,34,68,16,1,4,14,0
